player_id,fielder_name,jersey_number,arm_overall,diff,total_throws,primary_position_name,season
669236,"Jackson, Jeremiah",82,82.1,0.09999999999999432,239,Second Baseman,2026
680814,"Burdick, Peyton",86,86.3,0.29999999999999716,93,Center Fielder,2022
805300,"Marsee, Jakob",87,88.1,1.0999999999999943,182,Center Fielder,2025
673357,"Robert Jr., Luis",88,86.8,1.2000000000000028,267,Center Fielder,2022
547989,"Abreu, José",79,77.7,1.2999999999999972,388,First Baseman,2021
628451,"Ibáñez, Andy",77,75.7,1.2999999999999972,132,Third Baseman,2022
660844,"Rivas, Leo",76,77.4,1.4000000000000057,116,Second Baseman,2025
595281,"Kiermaier, Kevin",93,94.6,1.5999999999999943,288,Center Fielder,2024
681146,"Bride, Jonah",77,79.3,2.299999999999997,204,Second Baseman,2022
641779,"Leblanc, Charles",83,80.2,2.799999999999997,162,Second Baseman,2022
672724,"Peraza, Oswald",91,88.2,2.799999999999997,203,Third Baseman,2023
650339,"Palacios, Jermaine",87,84.0,3.0,103,Shortstop,2022
664314,"Florial, Estevan",90,86.8,3.200000000000003,54,Center Fielder,2023
665828,"Cabrera, Oswaldo",95,91.3,3.700000000000003,138,Right Fielder,2022
591720,"Torreyes, Ronald",74,78.0,4.0,439,Third Baseman,2021
695391,"Harris, Brett",77,81.2,4.200000000000003,85,Third Baseman,2024
650391,"Jiménez, Eloy",74,78.4,4.400000000000006,66,Designated Hitter,2022
686765,"Sogard, Nick",75,79.5,4.5,113,Second Baseman,2024
467827,"Parra, Gerardo",88,92.7,4.700000000000003,57,Left Fielder,2021
668885,"Martin, Austin",82,87.0,5.0,242,Center Fielder,2024
660650,"Garcia, Dérmis",76,71.0,5.0,134,First Baseman,2022
690976,"Freeland, Alex",76,81.1,5.099999999999994,248,Second Baseman,2026
657077,"Verdugo, Alex",99,93.8,5.200000000000003,153,Right Fielder,2020
678391,"Vivas, Jorbit",84,78.5,5.5,108,Third Baseman,2026
669065,"Stowers, Kyle",83,88.8,5.799999999999997,73,Left Fielder,2022
592450,"Judge, Aaron",99,92.4,6.599999999999994,336,Center Fielder,2022
676609,"Caballero, José",76,82.6,6.599999999999994,378,Second Baseman,2023
591971,"Valera, Breyvic",74,80.7,6.700000000000003,77,Third Baseman,2021
642162,"Valaika, Pat",74,81.0,7.0,167,Shortstop,2020
642721,"Gutiérrez, Kelvin",82,89.2,7.200000000000003,254,Third Baseman,2021
641313,"Anderson, Tim",77,84.4,7.400000000000006,150,Second Baseman,2025
500743,"Rojas, Miguel",72,79.4,7.400000000000006,347,Second Baseman,2025
677592,"Pereira, Everson",80,87.9,7.900000000000006,88,Left Fielder,2023
682928,"Abrams, CJ",77,85.3,8.299999999999997,431,Shortstop,2022
665862,"Chisholm Jr., Jazz",70,80.4,10.400000000000006,106,Second Baseman,2020
669304,"Miranda, Jose",64,74.7,10.700000000000003,450,First Baseman,2022
623205,"Velazquez, Andrew",71,83.3,12.299999999999997,110,Shortstop,2021
623912,"Ramírez, Harold",87,74.6,12.400000000000006,145,Designated Hitter,2022
681584,"Villar, David",70,82.8,12.799999999999997,156,Third Baseman,2022
650559,"De La Cruz, Bryan",77,90.5,13.5,174,Center Fielder,2021
640449,"Frazier, Clint",77,90.5,13.5,79,Right Fielder,2020
666018,"Aranda, Jonathan",62,76.0,14.0,293,First Baseman,2025
660821,"Sánchez, Jesús",76,90.2,14.200000000000003,180,Right Fielder,2021
666152,"Hamilton, David",70,84.5,14.5,391,Shortstop,2024
805373,"Alvarez Jr., Nacho",67,81.6,14.599999999999994,137,Third Baseman,2025
605137,"Bell, Josh",55,69.7,14.700000000000003,204,Designated Hitter,2023
660634,"Hernández, Yonny",65,79.9,14.900000000000006,176,Third Baseman,2021
656811,"O'Hearn, Ryan",66,81.0,15.0,122,Designated Hitter,2021
676116,"Noda, Ryan",49,66.1,17.099999999999994,114,First Baseman,2024
553902,"Astudillo, Willians",64,81.6,17.599999999999994,194,Third Baseman,2021
624641,"Sosa, Edmundo",63,81.0,18.0,478,Shortstop,2021
572228,"Voit, Luke",59,77.1,18.099999999999994,105,First Baseman,2021
680700,"Palacios, Richie",67,85.1,18.099999999999994,80,Left Fielder,2023
572233,"Walker, Christian",53,71.4,18.400000000000006,545,First Baseman,2024
660829,"Park, Hoy",98,79.4,18.599999999999994,138,Second Baseman,2021
669352,"Thompson, Bubba",65,84.1,19.099999999999994,140,Left Fielder,2022
668843,"Capel, Conner",71,90.1,19.099999999999994,63,Right Fielder,2022
660731,"Tejeda, Anderson",71,90.2,19.200000000000003,114,Shortstop,2020
502671,"Goldschmidt, Paul",48,67.3,19.299999999999997,181,First Baseman,2026
677954,"Groshans, Jordan",65,84.8,19.799999999999997,76,Third Baseman,2022
542364,"Ortega, Rafael",66,85.9,19.900000000000006,179,Center Fielder,2022
677649,"Duran, Ezequiel",70,90.2,20.200000000000003,198,Third Baseman,2022
669261,"Suwinski, Jack",65,85.5,20.5,431,Center Fielder,2023
671277,"García Jr., Luis",62,82.8,20.799999999999997,101,Second Baseman,2020
593643,"Alberto, Hanser",57,78.2,21.200000000000003,236,Second Baseman,2020
689172,"Wisely, Brett",60,81.5,21.5,102,Second Baseman,2025
669743,"Call, Alex",65,86.7,21.700000000000003,95,Left Fielder,2022
665926,"Giménez, Andrés",60,82.0,22.0,128,Shortstop,2020
668709,"Bleday, JJ",67,89.1,22.099999999999994,172,Center Fielder,2022
672640,"Lopez, Otto",61,83.1,22.099999999999994,486,Second Baseman,2024
681715,"Hernández, Heriberto",64,86.1,22.099999999999994,123,Designated Hitter,2025
700250,"Rice, Ben",93,70.5,22.5,115,First Baseman,2024
668731,"Baddoo, Akil",60,83.0,23.0,370,Center Fielder,2021
595909,"Cave, Jake",60,83.3,23.299999999999997,146,Center Fielder,2021
692216,"Kayfus, CJ",63,86.5,23.5,116,Right Fielder,2025
676632,"Madris, Bligh",66,89.5,23.5,99,Right Fielder,2022
665482,"Celestino, Gilberto",67,90.7,23.700000000000003,72,Center Fielder,2021
694362,"Dunn, Blake",59,82.8,23.799999999999997,84,Center Fielder,2026
672279,"Siani, Michael",63,86.9,23.900000000000006,338,Center Fielder,2024
663630,"McKenna, Ryan",65,89.0,24.0,163,Left Fielder,2021
660636,"Castillo, Diego",64,88.3,24.299999999999997,337,Shortstop,2022
677595,"Mauricio, Ronny",60,84.3,24.299999999999997,125,Second Baseman,2023
664731,"Higgins, P.J.",48,72.3,24.299999999999997,153,,2022
519203,"Rizzo, Anthony",48,73.0,25.0,476,First Baseman,2023
665750,"Taveras, Leody",65,90.5,25.5,111,Center Fielder,2020
670097,"Short, Zack",59,84.6,25.599999999999994,279,Shortstop,2021
668227,"Arozarena, Randy",56,81.7,25.700000000000003,460,Left Fielder,2025
542583,"Aguilar, Jesús",99,73.1,25.900000000000006,232,First Baseman,2022
571657,"Farmer, Kyle",52,78.2,26.200000000000003,84,Shortstop,2020
666176,"Adell, Jo",59,85.3,26.299999999999997,99,Right Fielder,2020
666464,"Encarnacion, Jerar",64,90.4,26.400000000000006,61,Left Fielder,2022
641343,"Bauers, Jake",61,87.9,26.900000000000006,186,Right Fielder,2023
687462,"Horwitz, Spencer",48,74.9,26.900000000000006,291,Second Baseman,2024
665839,"Valdez, Enmanuel",47,74.6,27.599999999999994,242,Second Baseman,2024
678894,"Peguero, Liover",60,87.7,27.700000000000003,308,Shortstop,2023
641856,"McKinney, Billy",57,84.8,27.799999999999997,114,Left Fielder,2023
621433,"Phillips, Brett",66,93.9,27.900000000000006,198,Center Fielder,2022
666149,"Fitzgerald, Tyler",49,76.9,27.900000000000006,365,Second Baseman,2025
687551,"Gilbert, Drew",61,89.4,28.400000000000006,115,Right Fielder,2025
600301,"Motter, Taylor",55,83.7,28.700000000000003,91,Second Baseman,2023
641829,"Martin, Jason",50,78.7,28.700000000000003,113,Left Fielder,2021
701678,"Lee, Hao-Yu ",50,78.8,28.799999999999997,165,Second Baseman,2026
672820,"Sosa, Lenyn",50,79.9,29.900000000000006,606,Second Baseman,2025
641505,"Davis, Jonathan",49,79.1,30.099999999999994,56,Center Fielder,2023
