pitcher,player_name,jersey_number,matching_pitches
656302,Dylan Cease,84,755
570666,Luis Cessa,85,554
669160,Dustin May,85,404
664208,Phil Maton,88,383
656557,Tanner Houck,89,315
672782,Yoendrys Gómez,94,312
643511,Tyler Rogers,71,289
660825,Eduard Bazardo,83,276
663947,Tyler Holton,87,227
675911,Spencer Strider,99,205
488984,Tommy Hunter,96,181
657376,Clarke Schmidt,86,171
554340,Yimi García,93,170
678368,Valente Bellozo,83,160
664849,Danny Young,81,139
677651,Luis Garcia,77,137
676664,JP Sears,92,136
648737,Dalier Hinojosa,94,125
669199,Lake Bachar,84,124
623167,Chris Flexen,77,119
650893,Génesis Cabrera,92,107
675627,Michael Grove,78,102
657044,Ryan Thompson,81,99
622503,Nabil Crismatt,74,82
594795,Grant Dayton,75,81
657093,Spenser Watkins,80,78
523260,Joe Kelly,99,76
608638,JT Chargois,84,75
664337,Miguel Yajure,89,72
676263,Jack Dreyer,86,63
669432,Trevor Rogers,95,62
657424,Matt Gage,93,61
701643,Grant Hartwig,93,61
663773,Bryan Hoeing,93,53
682175,Joe Jacques,78,50
800048,Parker Messick,77,49
670955,Edwin Uceta,92,49
681867,Cooper Criswell,88,45
702752,Jonathan Pintaro,91,42
665620,Deivi García,83,39
669674,Sam Long,73,39
595928,John Curtiss,84,38
456167,A.J. Griffin,64,37
685116,Austin Kitchen,91,36
642571,Merandy Gonzalez,77,34
657514,Brennan Bernardino,83,32
594985,Ben Rowen,71,32
686218,Emmet Sheehan,80,31
663542,Bryan Hudson,93,29
656578,Andre Jackson,94,27
666364,Jordan Balazovic,81,27
592254,José De León,87,25
663989,Nick Vespi,79,24
607216,Joey Krehbiel,87,22
689017,Landon Knack,96,22
501593,Luis Avilán,70,22
686753,Drey Jameson,99,21
584171,Hector Velázquez,76,20
672782,Yoendrys Gómez,92,20
676395,Robert Garcia,92,20
676637,Phoenix Sanders,80,19
621139,Brooks Kriske,86,18
643256,Adam Cimber,90,18
452027,Andrew Albers,77,16
623485,Ashton Goudeau,75,16
659275,Dinelson Lamet,94,16
676760,Ron Marinaccio,97,16
656061,Albert Abreu,84,16
670046,Kenny Rosenberg,78,15
677958,Kumar Rocker,80,15
656548,Jordan Holloway,78,15
656793,Nick Nelson,79,14
683766,Christian Koss,50,13
657424,Matt Gage,91,13
